TDL2048-Demo
alpha = 0.1
total = 200000
seed = 313551019
6-tuple pattern 012345, size = 16777216 (64MB)
6-tuple pattern 456789, size = 16777216 (64MB)
6-tuple pattern 012456, size = 16777216 (64MB)
6-tuple pattern 45689a, size = 16777216 (64MB)
6-tuple pattern 012345 is loaded from weights_new.bin
6-tuple pattern 456789 is loaded from weights_new.bin
6-tuple pattern 012456 is loaded from weights_new.bin
6-tuple pattern 45689a is loaded from weights_new.bin
1000	mean = 73504	max = 182920
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(2.9%)
	1024	96.2%	(8.2%)
	2048	88%	(17.5%)
	4096	70.5%	(45.9%)
	8192	24.6%	(24.6%)
2000	mean = 74958.9	max = 175676
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.1%)
	256	99.7%	(0.4%)
	512	99.3%	(1.7%)
	1024	97.6%	(9%)
	2048	88.6%	(18.6%)
	4096	70%	(43.6%)
	8192	26.4%	(26.4%)
3000	mean = 73806.5	max = 186308
	256	100%	(0.2%)
	512	99.8%	(2.6%)
	1024	97.2%	(8.3%)
	2048	88.9%	(18.5%)
	4096	70.4%	(45.5%)
	8192	24.9%	(24.9%)
4000	mean = 76345.5	max = 177260
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(2.5%)
	1024	97.1%	(8.2%)
	2048	88.9%	(16.8%)
	4096	72.1%	(45.5%)
	8192	26.6%	(26.6%)
5000	mean = 73845.6	max = 195720
	128	100%	(0.4%)
	256	99.6%	(1%)
	512	98.6%	(3.1%)
	1024	95.5%	(8%)
	2048	87.5%	(17.2%)
	4096	70.3%	(44.9%)
	8192	25.4%	(25.4%)
6000	mean = 74858.3	max = 272836
	256	100%	(0.8%)
	512	99.2%	(2.5%)
	1024	96.7%	(7.9%)
	2048	88.8%	(16.5%)
	4096	72.3%	(47.9%)
	8192	24.4%	(24.2%)
	16384	0.2%	(0.2%)
7000	mean = 74760	max = 177504
	256	100%	(0.1%)
	512	99.9%	(2.1%)
	1024	97.8%	(9.3%)
	2048	88.5%	(17.3%)
	4096	71.2%	(45.6%)
	8192	25.6%	(25.6%)
8000	mean = 72596.4	max = 193164
	256	100%	(0.5%)
	512	99.5%	(2.4%)
	1024	97.1%	(9.8%)
	2048	87.3%	(18.1%)
	4096	69.2%	(45.2%)
	8192	24%	(24%)
9000	mean = 74135.9	max = 177256
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(3.1%)
	1024	96.4%	(8.4%)
	2048	88%	(16.3%)
	4096	71.7%	(46.8%)
	8192	24.9%	(24.9%)
10000	mean = 75895.5	max = 179264
	128	100%	(0.3%)
	256	99.7%	(0.6%)
	512	99.1%	(1.6%)
	1024	97.5%	(9%)
	2048	88.5%	(16.7%)
	4096	71.8%	(44.6%)
	8192	27.2%	(27.2%)
11000	mean = 75491.4	max = 178068
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.4%)
	256	99.3%	(0.7%)
	512	98.6%	(1.7%)
	1024	96.9%	(8.1%)
	2048	88.8%	(18.2%)
	4096	70.6%	(43.2%)
	8192	27.4%	(27.4%)
12000	mean = 77976	max = 226452
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(2.2%)
	1024	97.1%	(8.3%)
	2048	88.8%	(16.7%)
	4096	72.1%	(42.2%)
	8192	29.9%	(29.8%)
	16384	0.1%	(0.1%)
13000	mean = 73476.2	max = 174828
	32	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.7%)
	512	99%	(2.7%)
	1024	96.3%	(8.5%)
	2048	87.8%	(18.9%)
	4096	68.9%	(42.4%)
	8192	26.5%	(26.5%)
14000	mean = 74920.9	max = 187900
	256	100%	(0.7%)
	512	99.3%	(2.5%)
	1024	96.8%	(8.6%)
	2048	88.2%	(19.5%)
	4096	68.7%	(41.1%)
	8192	27.6%	(27.6%)
15000	mean = 78038.7	max = 214524
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.2%)
	1024	97.2%	(8.3%)
	2048	88.9%	(15.7%)
	4096	73.2%	(43.6%)
	8192	29.6%	(29.5%)
	16384	0.1%	(0.1%)
16000	mean = 77522.5	max = 187676
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.4%)
	512	99.3%	(2.7%)
	1024	96.6%	(7.9%)
	2048	88.7%	(16.2%)
	4096	72.5%	(43.9%)
	8192	28.6%	(28.6%)
17000	mean = 76321	max = 197172
	128	100%	(0.1%)
	256	99.9%	(0.8%)
	512	99.1%	(2.2%)
	1024	96.9%	(9.3%)
	2048	87.6%	(16.7%)
	4096	70.9%	(43%)
	8192	27.9%	(27.9%)
18000	mean = 76343	max = 177964
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(2.8%)
	1024	96.5%	(7.9%)
	2048	88.6%	(17.2%)
	4096	71.4%	(44%)
	8192	27.4%	(27.4%)
19000	mean = 75160.4	max = 178248
	128	100%	(0.1%)
	256	99.9%	(0.8%)
	512	99.1%	(2.9%)
	1024	96.2%	(9.2%)
	2048	87%	(17.3%)
	4096	69.7%	(42%)
	8192	27.7%	(27.7%)
20000	mean = 76189.3	max = 174012
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(0.4%)
	512	99%	(2.9%)
	1024	96.1%	(7.3%)
	2048	88.8%	(16.3%)
	4096	72.5%	(45.9%)
	8192	26.6%	(26.6%)
21000	mean = 73994.2	max = 198612
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(3%)
